Time taken: 4.1585 seconds
         15369055 function calls (14734139 primitive calls) in 25.680 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.614    0.614 _shard_utils.py:1(<module>)
        7    0.000    0.000    0.613    0.088 file_io.py:73(load_file_path)
     4806    0.069    0.000    0.597    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        9    0.001    0.000    0.595    0.066 client.py:1(<module>)
    32803    0.062    0.000    0.590    0.000 pathlib.py:407(_load_parts)
1666092/1614194    0.459    0.000    0.590    0.000 {built-in method builtins.isinstance}
     5200    0.011    0.000    0.581    0.000 inspect.py:3346(signature)
    20848    0.020    0.000    0.580    0.000 pathlib.py:447(__fspath__)
194888/30372    0.110    0.000    0.573    0.000 {built-in method builtins.hasattr}
  235/233    0.001    0.000    0.572    0.002 <frozen importlib._bootstrap_external>:1291(create_module)
     5200    0.013    0.000    0.570    0.000 inspect.py:3081(from_callable)
  235/233    0.557    0.002    0.568    0.002 {built-in method _imp.create_dynamic}
    26238    0.071    0.000    0.568    0.000 pathlib.py:437(__str__)
8255/5227    0.104    0.000    0.559    0.000 inspect.py:2501(_signature_from_callable)
     1206    0.033    0.000    0.558    0.000 modeling_bert.py:351(forward)
      162    0.002    0.000    0.524    0.003 overrides.py:177(_validate_method)
        1    0.000    0.000    0.521    0.521 _conv_ops.py:1(<module>)
      162    0.002    0.000    0.520    0.003 signature.py:66(ensure_signature_is_compatible)
      200    0.005    0.000    0.496    0.002 Collection.py:194(query)
      6/4    0.000    0.000    0.496    0.124 __init__.py:128(__getattr__)
        1    0.000    0.000    0.483    0.483 _dtensor_spec.py:1(<module>)
    10883    0.029    0.000    0.483    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.480    0.480 placement_types.py:1(<module>)
     3622    0.008    0.000    0.471    0.000 <frozen posixpath>:420(realpath)
     4797    0.006    0.000    0.466    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
       97    0.005    0.000    0.465    0.005 _model_construction.py:84(__new__)
     4797    0.018    0.000    0.460    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
      200    0.015    0.000    0.459    0.002 rust.py:552(_query)
       11    0.001    0.000    0.457    0.042 core.py:1(<module>)
     2305    0.002    0.000    0.454    0.000 __init__.py:226(compile)
     1372    0.009    0.000    0.450    0.000 {built-in method builtins.sorted}
3625/3622    0.083    0.000    0.447    0.000 <frozen posixpath>:429(_joinrealpath)
        1    0.000    0.000    0.440    0.440 event_stream.py:1(<module>)
        1    0.000    0.000    0.439    0.439 _functional_collectives.py:1(<module>)
        5    0.000    0.000    0.436    0.087 logging.py:1(<module>)
      200    0.435    0.002    0.435    0.002 {method 'query' of 'builtins.Bindings' objects}
      969    0.007    0.000    0.422    0.000 _compiler.py:745(compile)
        1    0.000    0.000    0.418    0.418 log_stream.py:1(<module>)
      9/6    0.000    0.000    0.414    0.069 __init__.py:39(__getattr__)
        1    0.000    0.000    0.408    0.408 run_trees.py:1(<module>)
 3198/178    0.005    0.000    0.407    0.002 __init__.py:73(import_module)
 3221/178    0.067    0.000    0.407    0.002 <frozen importlib._bootstrap>:1375(_gcd_import)
    32807    0.214    0.000    0.406    0.000 pathlib.py:387(_parse_path)
      901    0.001    0.000    0.400    0.000 signature.py:34(_issubtype)
        1    0.000    0.000    0.398    0.398 distributions.py:1(<module>)
       17    0.001    0.000    0.396    0.023 api.py:1(<module>)
     5895    0.079    0.000    0.394    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
     1139    0.022    0.000    0.386    0.000 dataclasses.py:568(_init_fn)
25044/202    0.062    0.000    0.384    0.002 module.py:2885(train)
       15    0.002    0.000    0.384    0.026 types.py:1(<module>)
      201    0.001    0.000    0.383    0.002 module.py:2907(eval)
        1    0.001    0.001    0.373    0.373 document_loader.py:54(load_corpus)
        2    0.000    0.000    0.369    0.185 transformer.py:1(<module>)
      202    0.001    0.000    0.366    0.002 modeling_utils.py:4927(train)
       15    0.001    0.000    0.360    0.024 pdf_loader.py:12(load_pdf)
369426/369348    0.159    0.000    0.356    0.000 {built-in method builtins.getattr}
       40    0.002    0.000    0.352    0.009 decorators.py:896(wrapper)
9563/8903    0.024    0.000    0.351    0.000 typing.py:392(inner)
      162    0.001    0.000    0.344    0.002 overrides.py:194(_get_base_classes)
      162    0.034    0.000    0.343    0.002 overrides.py:201(_get_base_class_names)
        1    0.000    0.000    0.342    0.342 polyfuncs.py:1(<module>)
        1    0.000    0.000    0.341    0.341 specialpolys.py:1(<module>)
        1    0.000    0.000    0.341    0.341 _trace_wrapped_higher_order_op.py:1(<module>)
  235/182    0.001    0.000    0.338    0.002 <frozen importlib._bootstrap_external>:1299(exec_module)
       14    0.001    0.000    0.338    0.024 errors.py:1(<module>)
  235/182    0.115    0.000    0.337    0.002 {built-in method _imp.exec_dynamic}
      900    0.003    0.000    0.334    0.000 typing_utils.py:431(issubtype)
        1    0.000    0.000    0.333    0.333 _trace_wrapped_higher_order_op.py:167(__init__)
        1    0.000    0.000    0.332    0.332 rings.py:1(<module>)
        1    0.000    0.000    0.331    0.331 tokenization_auto.py:602(from_pretrained)
    15632    0.008    0.000    0.329    0.000 __init__.py:333(locate)
        1    0.005    0.005    0.325    0.325 trace_rules.py:3026(get_torch_obj_rule_map)
       96    0.006    0.000    0.322    0.003 _model_construction.py:600(complete_model_class)
    15633    0.019    0.000    0.321    0.000 __init__.py:823(locate_file)
     2785    0.006    0.000    0.317    0.000 trace_rules.py:3060(load_object)
    27202    0.106    0.000    0.302    0.000 dis.py:434(_get_instructions_bytes)
     4833    0.103    0.000    0.298    0.000 inspect.py:2397(_signature_from_function)
11784/1800    0.032    0.000    0.295    0.000 typing_utils.py:266(normalize)
      188    0.002    0.000    0.294    0.002 __init__.py:436(metadata)
        2    0.001    0.001    0.282    0.141 _support_alternative_backends.py:1(<module>)
    60434    0.174    0.000    0.282    0.000 <frozen posixpath>:71(join)
     4395    0.021    0.000    0.280    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
     3445    0.019    0.000    0.274    0.000 _docscrape.py:201(_read_to_next_section)
     3591    0.010    0.000    0.272    0.000 _docscrape.py:212(_read_sections)
       10    0.000    0.000    0.271    0.027 linear.py:1(<module>)
       10    0.000    0.000    0.267    0.027 _base.py:1(<module>)
     1206    0.029    0.000    0.266    0.000 modeling_bert.py:293(forward)
138058/137896    0.104    0.000    0.263    0.000 {method 'join' of 'str' objects}
  1086/96    0.005    0.000    0.263    0.003 _generate_schema.py:717(generate_schema)
      104    0.000    0.000    0.261    0.003 core_model_loading.py:1364(<lambda>)
      104    0.261    0.003    0.261    0.003 core_model_loading.py:1032(dot_natural_key)
  1926/96    0.009    0.000    0.259    0.003 _generate_schema.py:1017(_generate_schema_inner)
        1    0.001    0.001    0.259    0.259 _continuous_distns.py:1(<module>)
    92/19    0.001    0.000    0.259    0.014 custom_ops.py:217(__init__)
18530/850    0.034    0.000    0.259    0.000 typing_utils.py:256(_normalize_args)
        1    0.000    0.000    0.259    0.259 __init__.py:199(PersistentClient)
        1    0.000    0.000    0.259    0.259 client.py:63(__init__)
        2    0.000    0.000    0.257    0.129 shared_system_client.py:20(__init__)
        2    0.000    0.000    0.257    0.129 shared_system_client.py:28(_create_system_if_not_exists)
